ID,medv
3,29.445155022175175
6,24.738269949992727
8,16.151606470025424
9,16.048268431520718
10,17.13178273106342
18,18.42230510547117
20,22.043412541412177
25,16.462828348015194
26,16.83383602070381
27,17.149608156296434
29,20.143086301163372
30,20.677970362340293
33,16.081722418866917
34,15.982905217525165
36,22.289731624637483
37,21.724745282486694
38,23.41511114556384
42,24.853644929638893
49,16.048268431520718
53,24.53905201895824
60,23.032633083735227
63,24.050314475550987
70,23.41511114556384
72,22.26259670400257
79,20.647034603915714
80,23.059768004370145
83,24.050314475550987
92,23.64355381317898
93,23.64355381317898
96,24.12193240658547
98,45.26969035725109
99,45.181271631824465
100,31.366758004586053
105,20.578371697311628
106,16.082342646783893
111,20.575600955592055
113,16.512027692695767
114,16.497662541632973
116,16.98287620103678
126,16.620114719989118
130,15.103834157729414
131,19.996631264700625
133,21.867419622438135
136,15.689458598177845
141,14.881492312916738
144,15.267246700878266
145,15.267246700878266
147,15.221979179575493
152,18.48621521653087
153,20.64053318558878
156,15.707192838979301
158,25.627812638274108
163,46.076135046514345
169,21.776160850950717
185,18.836257456940842
186,20.7765484080231
189,24.963911596305557
196,46.74163530989475
197,31.391049035394385
199,30.832062983033865
200,25.631125133179022
203,35.35068844023812
208,16.819729498015214
210,16.048268431520718
211,16.810924902955335
213,17.239579321551627
216,22.289731624637483
218,22.289731624637483
219,16.187759863707257
220,22.12824915013161
221,22.681119408792675
229,45.04038021923378
232,31.458586261841507
238,31.687289877361792
239,24.050314475550987
240,23.74845407188754
242,20.647034603915714
246,16.819729498015214
248,22.26259670400257
253,25.398044655817962
255,24.050314475550987
256,22.911023112935283
257,33.11779578417407
258,46.546519772606956
259,31.222373502107413
260,24.425169864931654
268,42.598703112369634
270,19.041293566731873
271,20.616203451135725
276,25.612424005401607
277,31.836299661986615
278,25.355311102175794
279,23.854152975310924
281,47.06689823471503
288,23.924239594574015
290,22.26259670400257
292,27.254650186355697
295,22.26259670400257
296,24.050314475550987
299,24.840210032637355
300,26.01842830301229
301,24.57253933206446
308,24.067315332827842
314,23.64355381317898
315,22.8589955335702
320,20.616203451135725
322,24.050314475550987
323,23.64355381317898
324,21.338517691443197
327,24.050314475550987
330,23.74845407188754
332,20.647034603915714
333,23.64355381317898
336,23.64355381317898
338,22.221994208458895
346,22.26259670400257
347,20.589068530500803
351,24.12193240658547
352,24.470064273664224
354,25.035529527340042
355,23.64355381317898
356,24.24678727395948
362,17.60836718252964
364,17.30582209975963
365,44.366888578229435
370,38.366132541234855
376,24.539484116594487
379,13.37599879991305
380,13.565679267553547
381,14.335723652527893
382,13.157341090276272
386,13.090412101136758
389,13.157341090276272
391,14.812277988041636
394,14.544582799573101
396,14.225289183056095
398,14.17486145738573
400,13.74386817192006
403,13.311353517491376
405,13.333246287924943
406,12.900731633496262
407,14.616189959134536
410,13.66742011906549
411,30.65726608898361
412,13.605239423218126
413,13.53831043407861
417,13.68867284022473
421,13.971207339994315
422,14.81637941162751
423,16.40012935763835
424,14.744567094669053
427,14.85394350210352
431,15.222210222520468
436,13.371700919277846
437,13.44118991682901
439,13.647248933559442
447,14.610021477101515
450,14.797709611550637
451,15.393491976066159
455,14.282312776192736
457,15.631809588189805
471,16.684617668376543
474,21.975596098317297
476,15.3557617949982
483,25.946147021478506
486,22.249129129093813
490,14.981489240063663
495,19.095222167362543
496,16.675372103649018
497,16.39152327709628
499,20.616203451135725
501,18.457139299088954
505,24.050314475550987
