Id,SalePrice
1461,130606.29127049175
1462,143717.9071830537
1463,163709.19110094538
1464,169606.3983919702
1465,247572.35176198036
1466,166504.04357410056
1467,140642.26826304288
1468,165443.10635352915
1469,183601.46092184144
1470,132077.4659786125
1471,183601.46092184144
1472,124441.30741040506
1473,120551.26866315285
1474,168140.54989574206
1475,170344.15866040037
1476,353894.6218811952
1477,265014.28996049194
1478,349549.6213132825
1479,271401.43215151964
1480,395190.165801052
1481,287259.11460805393
1482,248142.29929904232
1483,145998.78566295476
1484,179888.562235733
1485,187775.32451982322
1486,198557.3116849126
1487,287897.6298705416
1488,266074.1901700914
1489,182098.24597537
1490,170346.27219685723
1491,196816.9778035571
1492,122596.56277632253
1493,167951.50828451428
1494,276374.54643888294
1495,277536.30907096673
1496,196971.4103372325
1497,196816.9778035571
1498,171599.9105000447
1499,171599.9105000447
1500,130437.0743043587
1501,167641.92389869216
1502,171599.9105000447
1503,269311.21637293504
1504,257139.6995628404
1505,196971.4103372325
1506,171153.4635731582
1507,172423.3657022064
1508,174797.5844279798
1509,167431.7869817987
1510,139956.9263952766
1511,139136.07202864572
1512,164274.09237191244
1513,165890.92208838294
1514,162532.57529699922
1515,165182.6492138196
1516,165226.68587335563
1517,136758.1663631076
1518,161517.98317242842
1519,196971.4103372325
1520,135630.27915097948
1521,136920.62677415978
1522,169437.71535495005
1523,141049.71580494638
1524,130077.64103049038
1525,133777.1958978819
1526,133777.1958978819
1527,121747.38386337162
1528,128589.7386877382
1529,137913.85857945998
1530,166432.00290908554
1531,154842.0847311829
1532,130272.47480582153
1533,154812.95436387125
1534,129680.10915555897
1535,161726.79156116061
1536,136867.41542586844
1537,122107.76688536527
1538,249522.80517635721
1539,265734.22307048104
1540,155654.51481863594
1541,165785.40387154103
1542,161726.79156116061
1543,231655.86244197647
1544,120684.96734216096
1545,124449.2099831343
1546,126732.78941161478
1547,156884.91086919425
1548,159896.09713942377
1549,121726.1417077042
1550,162439.28897189716
1551,135648.99697497123
1552,159683.17977241313
1553,163154.37772384984
1554,130900.83486529572
1555,161624.01845509204
1556,122994.86777454008
1557,159018.83360981944
1558,123704.27493269637
1559,154793.47218645687
1560,162439.28897189716
1561,161624.01845509204
1562,130208.76930915209
1563,130208.76930915209
1564,162048.30724991646
1565,157685.21593862347
1566,196971.4103372325
1567,121285.41089356487
1568,172119.8259699805
1569,159312.9798796885
1570,123999.71028888586
1571,155996.81233664785
1572,136001.95305719995
1573,197597.02176597304
1574,141545.94907155304
1575,196971.4103372325
1576,170667.33561254162
1577,182098.24597537
1578,165443.10635352915
1579,133348.39916285663
1580,197862.81535537302
1581,134383.10009692886
1582,132518.19679275178
1583,288523.59376128454
1584,231184.61509143998
1585,134838.16227446758
1586,119373.50537130484
1587,121013.2416329596
1588,136001.95305719995
1589,122713.87134171663
1590,136255.92235949493
1591,133336.46508374257
1592,139262.2218379835
1593,133617.91201382893
1594,157290.05685149357
1595,157033.10585559276
1596,232482.98661807601
1597,163457.05652810226
1598,196816.9778035571
1599,252219.50334573342
1600,245523.13231290135
1601,119373.50537130484
1602,124076.41184312406
1603,121146.94031196774
1604,259954.3113586358
1605,271221.6762317872
1606,143427.5026103345
1607,172041.47522849578
1608,183059.32771318263
1609,182098.24597537
1610,157890.12997537764
1611,140410.6939683965
1612,162426.54001433557
1613,156022.92278900632
1614,131009.50728353021
1615,120110.53784901352
1616,120110.53784901352
1617,120110.53784901352
1618,130208.76930915209
1619,126704.40272728303
1620,163137.41332266928
1621,127745.15931182216
1622,160150.56034221785
1623,272101.1498290572
1624,171103.66968520277
1625,132840.56093061727
1626,169437.71535495005
1627,169606.3983919702
1628,273895.6504902874
1629,194328.1569060168
1630,293460.89781774336
1631,248992.30272587863
1632,261119.6375633823
1633,187775.32451982322
1634,170305.99032540058
1635,168199.21555301317
1636,140642.26826304288
1637,162444.83949076082
1638,228727.97669410417
1639,170848.74575469102
1640,233647.23890077652
1641,171407.20941742868
1642,214097.84816540527
1643,257996.1177087948
1644,253620.78860714423
1645,164274.09237191244
1646,138670.07188536768
1647,179726.55555682094
1648,137913.85857945998
1649,134885.34410054155
1650,131679.9440172728
1651,131679.9440172728
1652,124441.30741040506
1653,124441.30741040506
1654,165813.5581069063
1655,178660.83790428852
1656,166859.39565872223
1657,165813.5581069063
1658,165365.39292712885
1659,170886.29186905918
1660,133098.7159408868
1661,370918.1316898899
1662,362290.9798400056
1663,356448.3209985939
1664,381734.98034561606
1665,350508.97866356047
1666,277888.39493415685
1667,278957.6341790808
1668,350508.97866356047
1669,336231.25584338995
1670,351261.78423275775
1671,202907.88892384418
1672,366789.4173736948
1673,275325.88799387665
1674,267397.4894940479
1675,162525.79481761475
1676,145785.01691705873
1677,184200.19170387663
1678,370976.9584265065
1679,293074.54435672256
1680,344117.96329321334
1681,332091.3526847878
1682,273747.6817239804
1683,191890.50565081
1684,193287.38869031947
1685,165443.10635352915
1686,182098.24597537
1687,187775.32451982322
1688,196359.8468999996
1689,194567.41581657366
1690,194300.76924951482
1691,174454.51122012094
1692,265891.85625548876
1693,187775.32451982322
1694,168199.21555301317
1695,193287.38869031947
1696,234170.82334465013
1697,193287.38869031947
1698,285061.11445646785
1699,286745.15913354163
1700,232197.99565063528
1701,272175.84894264326
1702,271599.56340943684
1703,271014.9781510494
1704,275499.145882146
1705,249562.25026294065
1706,364348.8022353549
1707,195958.02977803713
1708,191890.50565081
1709,339235.17362433224
1710,255254.29856705692
1711,263114.99985238054
1712,266578.32360600546
1713,201214.65156828816
1714,197597.02176597304
1715,197288.2251540936
1716,182098.24597537
1717,179888.562235733
1718,138358.68883456234
1719,198661.18371026713
1720,259952.81051653766
1721,179888.562235733
1722,136485.20534241377
1723,138397.11086467383
1724,198668.85128648058
1725,231400.31629083306
1726,166504.04357410056
1727,157085.32489003162
1728,193913.00011906
1729,162869.69584265858
1730,166250.29772983008
1731,135689.10142014193
1732,132120.67483141212
1733,130208.76930915209
1734,134087.66474073936
1735,131009.50728353021
1736,131009.50728353021
1737,288269.5213619499
1738,199962.11409841024
1739,233157.44278545477
1740,168093.80856362366
1741,143062.35225384738
1742,167641.92389869216
1743,194300.76924951482
1744,271619.22928529547
1745,200249.56549159688
1746,265978.96504616376
1747,232521.01521497424
1748,168803.66721196863
1749,155116.74498088154
1750,138724.85185852402
1751,232602.861688505
1752,130208.76930915209
1753,161517.98317242842
1754,231813.02325260174
1755,145219.6229308524
1756,132480.68199165096
1757,130208.76930915209
1758,159172.63438371517
1759,164274.09237191244
1760,142853.0319741566
1761,141545.94907155304
1762,159279.84635288254
1763,169437.71535495005
1764,133777.1958978819
1765,170498.6525755215
